Sample Name	Protocol REF	Parameter Value[instrument]	Parameter Value[manufacturer]	Protocol REF	Assay Name	Raw Data File	Comment[Data Repository]	Comment[Data Record Accession]	Comment[Data Record URI]	Protocol REF	Derived Data File	Comment[Data Repository]	Comment[Data Record Accession]	Comment[Data Record URI]	Factor Value[project]
S0060	Shotgun sequencing	NextEra XT kit 	Illumina	Taxonomic characterisation	SRR5788011	SRX2974721	NCBI Sequence Read Archive	SRP110813	http://identifiers.org/insdc.sra:SRP110813	Metagenome assembly	SRZ187261	NCBI BioProject	PRJNA385854	http://identifiers.org/ncbi/bioproject:PRJNA385854	GEOTRACES
S0061	Shotgun sequencing	NextEra XT kit 	Illumina	Taxonomic characterisation	SRR5788010	SRX2974722	NCBI Sequence Read Archive	SRP110813	http://identifiers.org/insdc.sra:SRP110813	Metagenome assembly	SRZ187262	NCBI BioProject	PRJNA385854	http://identifiers.org/ncbi/bioproject:PRJNA385854	GEOTRACES
S0062	Shotgun sequencing	NextEra XT kit 	Illumina	Taxonomic characterisation	SRR5788009	SRX2974723	NCBI Sequence Read Archive	SRP110813	http://identifiers.org/insdc.sra:SRP110813	Metagenome assembly	SRZ187263	NCBI BioProject	PRJNA385854	http://identifiers.org/ncbi/bioproject:PRJNA385854	GEOTRACES
S0063	Shotgun sequencing	NextEra XT kit 	Illumina	Taxonomic characterisation	SRR5788014	SRX2974718	NCBI Sequence Read Archive	SRP110813	http://identifiers.org/insdc.sra:SRP110813	Metagenome assembly	SRZ187264	NCBI BioProject	PRJNA385854	http://identifiers.org/ncbi/bioproject:PRJNA385854	GEOTRACES
S0064	Shotgun sequencing	NextEra XT kit 	Illumina	Taxonomic characterisation	SRR5788013	SRX2974719	NCBI Sequence Read Archive	SRP110813	http://identifiers.org/insdc.sra:SRP110813	Metagenome assembly	SRZ187265	NCBI BioProject	PRJNA385854	http://identifiers.org/ncbi/bioproject:PRJNA385854	GEOTRACES
S0065	Shotgun sequencing	NextEra XT kit 	Illumina	Taxonomic characterisation	SRR5788065	SRX2974667	NCBI Sequence Read Archive	SRP110813	http://identifiers.org/insdc.sra:SRP110813	Metagenome assembly	SRZ187266	NCBI BioProject	PRJNA385854	http://identifiers.org/ncbi/bioproject:PRJNA385854	GEOTRACES
S0066	Shotgun sequencing	NextEra XT kit 	Illumina	Taxonomic characterisation	SRR5788066	SRX2974666	NCBI Sequence Read Archive	SRP110813	http://identifiers.org/insdc.sra:SRP110813	Metagenome assembly	SRZ187267	NCBI BioProject	PRJNA385854	http://identifiers.org/ncbi/bioproject:PRJNA385854	GEOTRACES
S0067	Shotgun sequencing	NextEra XT kit 	Illumina	Taxonomic characterisation	SRR5788063	SRX2974669	NCBI Sequence Read Archive	SRP110813	http://identifiers.org/insdc.sra:SRP110813	Metagenome assembly	SRZ187268	NCBI BioProject	PRJNA385854	http://identifiers.org/ncbi/bioproject:PRJNA385854	GEOTRACES
S0068	Shotgun sequencing	NextEra XT kit 	Illumina	Taxonomic characterisation	SRR5788064	SRX2974668	NCBI Sequence Read Archive	SRP110813	http://identifiers.org/insdc.sra:SRP110813	Metagenome assembly	SRZ187269	NCBI BioProject	PRJNA385854	http://identifiers.org/ncbi/bioproject:PRJNA385854	GEOTRACES
S0069	Shotgun sequencing	NextEra XT kit 	Illumina	Taxonomic characterisation	SRR5788069	SRX2974663	NCBI Sequence Read Archive	SRP110813	http://identifiers.org/insdc.sra:SRP110813	Metagenome assembly	SRZ187270	NCBI BioProject	PRJNA385854	http://identifiers.org/ncbi/bioproject:PRJNA385854	GEOTRACES
S0070	Shotgun sequencing	NextEra XT kit 	Illumina	Taxonomic characterisation	SRR5788070	SRX2974662	NCBI Sequence Read Archive	SRP110813	http://identifiers.org/insdc.sra:SRP110813	Metagenome assembly	SRZ187271	NCBI BioProject	PRJNA385854	http://identifiers.org/ncbi/bioproject:PRJNA385854	GEOTRACES
S0071	Shotgun sequencing	NextEra XT kit 	Illumina	Taxonomic characterisation	SRR5788067	SRX2974665	NCBI Sequence Read Archive	SRP110813	http://identifiers.org/insdc.sra:SRP110813	Metagenome assembly	SRZ187272	NCBI BioProject	PRJNA385854	http://identifiers.org/ncbi/bioproject:PRJNA385854	GEOTRACES
S0072	Shotgun sequencing	NextEra XT kit 	Illumina	Taxonomic characterisation	SRR5788068	SRX2974664	NCBI Sequence Read Archive	SRP110813	http://identifiers.org/insdc.sra:SRP110813	Metagenome assembly	SRZ187273	NCBI BioProject	PRJNA385854	http://identifiers.org/ncbi/bioproject:PRJNA385854	GEOTRACES
S0073	Shotgun sequencing	NextEra XT kit 	Illumina	Taxonomic characterisation	SRR5788061	SRX2974671	NCBI Sequence Read Archive	SRP110813	http://identifiers.org/insdc.sra:SRP110813	Metagenome assembly	SRZ187274	NCBI BioProject	PRJNA385854	http://identifiers.org/ncbi/bioproject:PRJNA385854	GEOTRACES
S0074	Shotgun sequencing	NextEra XT kit 	Illumina	Taxonomic characterisation	SRR5788062	SRX2974670	NCBI Sequence Read Archive	SRP110813	http://identifiers.org/insdc.sra:SRP110813	Metagenome assembly	SRZ187275	NCBI BioProject	PRJNA385854	http://identifiers.org/ncbi/bioproject:PRJNA385854	GEOTRACES
S0075	Shotgun sequencing	NextEra XT kit 	Illumina	Taxonomic characterisation	SRR5788107	SRX2974625	NCBI Sequence Read Archive	SRP110813	http://identifiers.org/insdc.sra:SRP110813	Metagenome assembly	SRZ187276	NCBI BioProject	PRJNA385854	http://identifiers.org/ncbi/bioproject:PRJNA385854	GEOTRACES
S0076	Shotgun sequencing	NextEra XT kit 	Illumina	Taxonomic characterisation	SRR5788204	SRX2974528	NCBI Sequence Read Archive	SRP110813	http://identifiers.org/insdc.sra:SRP110813	Metagenome assembly	SRZ187277	NCBI BioProject	PRJNA385854	http://identifiers.org/ncbi/bioproject:PRJNA385854	GEOTRACES
S0077	Shotgun sequencing	NextEra XT kit 	Illumina	Taxonomic characterisation	SRR5788214	SRX2974518	NCBI Sequence Read Archive	SRP110813	http://identifiers.org/insdc.sra:SRP110813	Metagenome assembly	SRZ187278	NCBI BioProject	PRJNA385854	http://identifiers.org/ncbi/bioproject:PRJNA385854	GEOTRACES
S0078	Shotgun sequencing	NextEra XT kit 	Illumina	Taxonomic characterisation	SRR5788213	SRX2974519	NCBI Sequence Read Archive	SRP110813	http://identifiers.org/insdc.sra:SRP110813	Metagenome assembly	SRZ187279	NCBI BioProject	PRJNA385854	http://identifiers.org/ncbi/bioproject:PRJNA385854	GEOTRACES
S0079	Shotgun sequencing	NextEra XT kit 	Illumina	Taxonomic characterisation	SRR5788036	SRX2974696	NCBI Sequence Read Archive	SRP110813	http://identifiers.org/insdc.sra:SRP110813	Metagenome assembly	SRZ187280	NCBI BioProject	PRJNA385854	http://identifiers.org/ncbi/bioproject:PRJNA385854	GEOTRACES
