sequence,pcaG,pcaH,PETase,tphA2,tphA3,tphB
ASV000616,0,0,0,0,0,0
ASV000617,2,2,0,0,0,1
ASV000618,0,0,0,0,0,0
ASV000619,0,0,0,0,0,0
ASV000620,0,0,0,1,0,0
ASV000621,0,0,2,0,0,0
ASV000622,0,0,0,0,0,0
ASV000623,0,0,0,0,0,0
ASV000624,1,1,0,0,0,0
ASV000625,0,0,0,3,0,0
ASV000626,0,0,0,0,0,0
ASV000627,0,0,0,0,0,0
ASV000628,0,0,0,0,0,0
ASV000629,0,0,0,0,0,0
ASV000630,0,0,0,0,0,0
ASV000631,0,0,0,0,0,0
ASV000632,0,0,0,0,0,0
ASV000633,0,0,0,0,0,0
ASV000634,0,0,0,0,0,0
ASV000635,0,0,0,1,0,0
ASV000636,0,0,0,0,0,1
ASV000637,0,0,0,0,0,0
ASV000638,0,0,0,0,0,0
ASV000639,0,0,0,0,0,0
ASV000640,0,1,0,0,0,0
ASV000641,0,0,0,1,0,1
ASV000642,0,0,0,0,0,0
ASV000643,4,3,0,4,0,1
ASV000644,0,0,0,1,0,0
ASV000645,0,0,0,0,0,0
ASV000646,0,0,0,0,0,0
ASV000647,1,1,0,0,0,0
ASV000648,0,0,0,0,0,0
ASV000649,0,0,0,0,0,0
ASV000650,2,2,0,1,0,0
ASV000651,0,0,0,0,0,1
ASV000652,0,0,0,0,0,0
ASV000653,0,0,0,0,0,0
ASV000654,0,0,0,0,0,0
ASV000655,0,0,0,0,0,0
ASV000656,0,0,0,0,0,0
ASV000657,0,1,0,0,0,0
ASV000658,0,0,0,1,0,0
ASV000659,0,0,0,0,0,0
ASV000660,0,0,0,0,0,0
ASV000661,2,1,0,0,0,0
ASV000662,0,0,0,0,0,0
ASV000663,0,0,0,0,0,0
ASV000664,0,0,0,0,0,0
ASV000665,0,0,0,0,0,0
ASV000666,0,0,0,1,0,0
ASV000667,0,0,0,0,0,0
ASV000668,0,0,0,0,0,0
ASV000669,0,0,0,0,0,0
ASV000670,0,0,0,0,0,0
ASV000671,0,0,0,0,0,0
ASV000672,1,2,0,1,0,1
ASV000673,0,0,0,0,0,0
ASV000674,0,0,0,0,0,0
ASV000675,0,0,0,0,0,0
