.wavelength	spc
1945	0.0779872251114044
1946	0.0747320279084613
1947	0.0707878473291966
1948	0.0648226004995638
1949	0.057839816387244
1950	0.0505519685116142
1951	0.0443151405778313
1952	0.0386056896778752
1953	0.0369978379316424
1954	0.0346052476039736
1955	0.0367452312082419
1956	0.0376331685565999
1957	0.0398681396266659
1958	0.0419629684100027
1959	0.0428917246609783
1960	0.0439043048092687
1961	0.0428681203653357
1962	0.0408600916036759
1963	0.0377736215155412
1964	0.0341860867583735
1965	0.029817367840036
1966	0.0274562716907173
1967	0.0226108959832579
1968	0.0177556960708784
1969	0.0129124567888846
1970	0.00311506561415463
1971	-0.00344516885953658
1972	-0.0123075049158818
1973	-0.0189047626857073
1974	-0.0239046100636188
1975	-0.0275126740496339
1976	-0.0291614217006561
1977	-0.0282505427402848
1978	-0.0264647515243363
1979	-0.0208446978911422
1980	-0.0146563945722029
1981	-0.00797193157948617
1982	0.00172249003826697
1983	0.00400813842985411
1984	0.00939244063493965
1985	0.00794418795717767
1986	0.00599072000709509
1987	0.00363303640056903
1988	0.00128393021202124
1989	0.000665811332799866
1990	0.00139851813725357
1991	0.00274395590475636
1992	0.00531029139594869
1993	0.00758642735014632
1994	0.00925206132084025
1995	0.0109556141978137
1996	0.0058147493869518
1997	0.00400849128420857
1998	-0.00431862968855638
1999	-0.0100374640169702
2000	-0.0134638317392762
2001	-0.0159104691263265
2002	-0.0141297025145082
2003	-0.0115313034334371
2004	-0.00843845655706253
2005	-0.00515394017602485
2006	-0.00115616476161641
2007	0.00243808414205918
2008	0.00865057309626815
2009	0.0122384169723715
2010	0.0172820785346862
2011	0.0161112411943037
2012	0.0137741188243664
2013	0.00878578678941863
2014	0.00204156381046007
2015	-0.003003788302659
2016	-0.00687495252413563
2017	-0.00916601558712499
2018	-0.0108270820847145
2019	-0.0121366710975218
2020	-0.0145043462108988
2021	-0.0180326292795223
2022	-0.0205959183957783
2023	-0.0234930335310171
2024	-0.0243813504197629
2025	-0.0234020369011009
2026	-0.0211481324396868
2027	-0.0184219320734081
2028	-0.01520097552017
2029	-0.0126678793110082
2030	-0.00985268359545857
2031	-0.00705682068732637
2032	-0.00446392765696697
2033	-0.00300500401169295
2034	-0.00152654119164146
2035	-0.0011875562164948
2036	-0.000450534991920246
2037	-0.00180455652452855
2038	-0.00294705817672086
2039	-0.00539075392639679
2040	-0.00821278844546109
2041	-0.00989843848706803
2042	-0.0105494723538882
2043	-0.00960294401171662
2044	-0.00711054726474903
2045	-0.00335400813886542
2046	0.00203687155911294
2047	0.00836812361281972
2048	0.0176168875165452
2049	0.0270681561166439
2050	0.0383511865754031
2051	0.0499902401827004
2052	0.0612947717322495
2053	0.0732743040524237
2054	0.084273363863822
2055	0.0946491243096861
2056	0.103195106620177
2057	0.110291262304186
2058	0.11561848810469
2059	0.119226012983506
2060	0.121599691061946
2061	0.122406408337217
2062	0.12294158802591
2063	0.122761750927634
2064	0.123199321324437
2065	0.125589333944647
2066	0.127134271881223
2067	0.131863279869261
2068	0.135532105977034
2069	0.140911813262483
2070	0.14640267271457
2071	0.152168879617014
2072	0.157337698801415
2073	0.161746714406053
2074	0.163870944760701
2075	0.166288354120008
2076	0.167486652332676
2077	0.16895689551382
2078	0.172228773268399
2079	0.173542622712711
2080	0.178761904898375
2081	0.182808586421076
2082	0.189062702341956
2083	0.195421350992767
2084	0.201280187873797
2085	0.206139913872971
2086	0.209954378591656
2087	0.212143624996044
2088	0.21386955235268
2089	0.213564926096259
2090	0.212206785319943
2091	0.209751197978503
2092	0.206167444832639
2093	0.203783764451052
2094	0.2013821406558
2095	0.200219033423573
2096	0.198985871978249
2097	0.197675751958511
2098	0.196100204020519
2099	0.194242574562949
2100	0.192351119514119
2101	0.190977518276331
2102	0.19024382464589
2103	0.190389900771313
2104	0.193086334752633
2105	0.195551969338682
2106	0.201509610221274
2107	0.206092971762615
2108	0.212067894435256
2109	0.217448840309319
2110	0.222663867555254
2111	0.227938496230182
2112	0.232214904641989
2113	0.235047783468792
2114	0.236325116492247
2115	0.235259353903372
2116	0.233037304105627
2117	0.230439369799488
2118	0.22660391926615
2119	0.223954402342364
2120	0.220321724411483
2121	0.217394625773487
2122	0.21447326746833
2123	0.211794254713152
2124	0.208706876157876
2125	0.204986809766614
2126	0.200120688601023
2127	0.194116161216151
2128	0.186650815074906
2129	0.179113127207972
2130	0.170240872111465
2131	0.162109443379919
2132	0.154993378983784
2133	0.14773421503494
2134	0.143627860786446
2135	0.139086111208123
2136	0.138000303382836
2137	0.136962015458305
2138	0.138576584524498
2139	0.140520554954906
2140	0.142580841299487
2141	0.143247630977281
2142	0.14331110635749
2143	0.139980325030562
2144	0.136319669336977
2145	0.130535029604041
2146	0.124111163566075
2147	0.118814739259162
2148	0.111950312395507
2149	0.106789023690971
2150	0.0997196538062637
2151	0.0913287277754569
2152	0.0819115666348946
2153	0.0709429221919968
2154	0.0596101852770621
2155	0.0485563978443359
2156	0.0370584717740369
2157	0.0270337856365334
2158	0.0207822412624428
2159	0.0147721784966703
2160	0.0201936735153738
2161	0.0229768319427154
2162	0.0370493351233547
2163	0.0501642503708613
2164	0.0672998868278386
2165	0.0846314463132816
2166	0.0996232610766589
2167	0.111831194508005
2168	0.120369227866352
2169	0.12326757397029
2170	0.124110749637735
2171	0.120400644473519
2172	0.115297273013609
2173	0.108827543015701
2174	0.100758815525654
2175	0.0969268944600451
2176	0.0929341996737518
2177	0.095103912686051
2178	0.0985152416157661
2179	0.105465078828745
2180	0.113469888648412
2181	0.123024483057526
2182	0.133364133280455
2183	0.144102915412877
2184	0.154156414107554
2185	0.163644240100979
2186	0.169538397081712
2187	0.175384908141402
2188	0.174285338561634
2189	0.173356425592719
2190	0.166044755173757
2191	0.15874629291386
2192	0.149297376384446
2193	0.141381896757147
2194	0.135740312733568
2195	0.133622941146228
2196	0.134103436971029
2197	0.14045117439796
2198	0.146858056262127
2199	0.157870757847535
2200	0.168841436967831
2201	0.176540333798894
2202	0.188076945322288
2203	0.192323467847492
2204	0.199462159416182
2205	0.202775668893094
2206	0.205501352023433
2207	0.206915236370188
2208	0.20712225892719
2209	0.206673493097445
2210	0.207317770024786
2211	0.20839496349455
2212	0.210750011981987
2213	0.215149792775066
2214	0.21805195844419
2215	0.222605928652653
2216	0.225302595327615
2217	0.227263072532917
2218	0.229889873369396
2219	0.231513628691976
2220	0.234980621000864
2221	0.238948200581583
2222	0.243394257781183
2223	0.247018990378296
2224	0.250020240497012
