.wavelength,Bacillus,Community,Control,Thioclava
759,0.31037671973949676,0.3766396643208421,0.4605684061841557,0.464947322985684
760,0.335395397617271,0.4037532720260925,0.48800904589093336,0.4930615198372846
761,0.36051230503063797,0.4308296626897883,0.5156175747120435,0.5216920006053227
762,0.3863453291733754,0.4583787574010838,0.543625977775062,0.5517732499583404
763,0.4122283354208206,0.4859901762483714,0.5719331020169528,0.5821130887943108
764,0.4398321074404289,0.5148856231179901,0.6012851052957128,0.6138116300470898
765,0.467266526131361,0.5435424267118032,0.630404961743671,0.6455692187493998
766,0.4965089986703997,0.5734801913036305,0.660831318470923,0.6773002328412657
767,0.5258949959369182,0.6032505717769236,0.6909165050177785,0.7096679550164599
768,0.555942940599436,0.6334374098873596,0.7215315758024475,0.7406837255312544
769,0.5863528928520889,0.6638206791275139,0.752222996437454,0.7721364133261622
770,0.616393628198366,0.693885326252656,0.782520296860894,0.802272152447967
771,0.6465476537163042,0.7240805652497251,0.8128503884826134,0.8321786267696232
772,0.6761146630068097,0.753736490332336,0.842462103562899,0.8615071569331002
773,0.7053550542872858,0.7830805681078933,0.8716819466137566,0.8907960249638884
774,0.7343043210291662,0.8121463920070973,0.900600935534321,0.9201953568538142
775,0.7629357345978887,0.8409197960410097,0.9292281650798601,0.9500853387656538
776,0.7917043680416062,0.8697981549907298,0.9579521280687676,0.9802900580097824
777,0.8204996393138879,0.8988692294067041,0.9869206849833936,1.0110156499536413
778,0.8502077341449892,0.9286951465437503,1.016347591536018,1.0423910051374454
779,0.88071945335942,0.9596025646983074,1.046860028854905,1.0741820543444023
780,0.9124173509802088,0.9916270013677752,1.0783700714439406,1.1073926397288993
781,0.9470848866394448,1.0265909004639868,1.1125285438438575,1.14226987208132
782,0.9824935457031371,1.0622506893892156,1.147720276584614,1.178454027745248
783,1.0235308125198206,1.1034044640661107,1.1881211978549058,1.219774034035118
784,1.0651919266781564,1.144928630539062,1.2291804630832281,1.2617059893068232
785,1.1126484644072114,1.1919225551308592,1.2759346509206433,1.3096703773143692
786,1.1601119322831372,1.2384735153377824,1.322565099291663,1.3574605863224938
787,1.2076937152874112,1.2845968234476177,1.3691065040863046,1.4051165863942277
788,1.2509958848497247,1.3257677158377945,1.4111854544748599,1.4481634368373544
789,1.2879893865776357,1.3604185669720334,1.4468553365571954,1.4846777063056982
790,1.3101592553929589,1.3795978822513701,1.467740876825879,1.5061313785397457
791,1.3283273271541944,1.3950270538712888,1.4847438131790234,1.5237670201279334
792,1.3204998105947745,1.384622248598929,1.4758698817290612,1.5148166390742774
793,1.316029861420639,1.3778198255574432,1.4708187464541465,1.5098567006907277
794,1.2866743527787978,1.3475523874214932,1.4408719460709603,1.4790285431101955
795,1.2591817434850352,1.3190354399465767,1.4130938841368343,1.45033705888967
796,1.2238217262900262,1.2846332761824921,1.3779571149391168,1.4139672332924134
797,1.1865978055864683,1.2483403381584155,1.34090966758349,1.3754780278237455
798,1.15504059438171,1.2190521386940378,1.3102834049501944,1.3436405808386223
799,1.125937084909959,1.192461928388791,1.2823043941868622,1.3145334770887895
800,1.1059057724628563,1.1752668819701477,1.263840949378923,1.295214287867665
801,1.0954711135587019,1.1674571395928401,1.2551024217630404,1.28583921872485
802,1.092008443182112,1.1665289410929534,1.2533746562695596,1.283628957400551
803,1.0973646577745424,1.1732859168119878,1.2599635110159975,1.2897999083837606
804,1.1083445114520858,1.1855905792849954,1.272083106365021,1.3016134590678492
805,1.119016468359038,1.1963368943165764,1.2830234144100756,1.3125473712154205
806,1.1346447269263578,1.2119538505382723,1.2989849796918886,1.3285688434557743
807,1.144544616787608,1.2215881865483067,1.3083841874115065,1.338340447830107
808,1.1568834821146003,1.2332131651447833,1.3202775850547368,1.3507419296182648
809,1.1660965081766401,1.2422329244081256,1.328669125070593,1.3598657346179532
810,1.1753518745718645,1.2508988221441413,1.3369620893082632,1.3689226069105684
811,1.1840157164464695,1.2593602844460723,1.3449514226594468,1.37797457071276
812,1.1926471096721327,1.2678027414595265,1.3529435485153023,1.3870269137880264
813,1.2014675023278003,1.2765324112759768,1.3613612456386868,1.3965748543740757
814,1.2107968435326497,1.285829434903511,1.3703861091115144,1.4065913311523233
815,1.2207522800783044,1.2957977659060522,1.3801222833006865,1.41712096952151
816,1.2313654125845765,1.306326614016121,1.3906260251511744,1.4279884704641763
817,1.2428851577692788,1.3177468943377824,1.4022531004918202,1.439799722637201
818,1.2553363571760754,1.3300513715856233,1.4150397943658055,1.4521795535021003
819,1.2684835508639711,1.3429722050890511,1.4287191372094412,1.4654413985142398
820,1.2833910661651722,1.3579060924710578,1.444501874821518,1.480123478755831
821,1.2987980083434967,1.3731475697663547,1.460676525961781,1.4954186091197768
822,1.3159559022181189,1.390696064805023,1.4792075595456844,1.5129231678794157
823,1.3343073081255121,1.4092579718123535,1.4985980134236199,1.5313468496600444
