ASV001083,ASV1083: $Alphaproteobacteria$
ASV001085,ASV1085: $Catenococcus$
ASV001086,ASV1086: $Alphaproteobacteria$
ASV001091,ASV1091: $Alphaproteobacteria$
ASV001092,ASV1092: $Thalassobaculum$
ASV001096,ASV1096: $Methylobacterium$
ASV001097,ASV1097: $Pedomicrobium$
ASV001101,ASV1101: $Catenococcus$
ASV001102,ASV1102: $Aidingimonas$
ASV001109,ASV1109: $Thalassospira$
ASV001112,ASV1112: $Thiobacimonas$
ASV001113,ASV1113: $Bradyrhizobium$
ASV001114,ASV1114: $Halomonadaceae$
ASV001119,ASV1119: $Rhodobacteraceae$
ASV001124,ASV1124: $Alphaproteobacteria$
ASV001126,ASV1126: $Halomonas$
ASV001130,ASV1130: $Marinobacterium$
ASV001137,ASV1137: $Rhodobacteraceae$
ASV001138,ASV1138: $Rhodobacteraceae$
ASV001140,ASV1140: $Vibrionaceae$
ASV001142,ASV1142: $Rhodobacteraceae$
ASV001146,ASV1146: $Thalassobaculum$
ASV001148,ASV1148: $Constrictibacter$
ASV001150,ASV1150: $Amorphus$
ASV001151,ASV1151: $Thalassospira$
ASV001152,ASV1152: $Sediminibacterium$
ASV001154,ASV1154: $Caulobacteraceae$
ASV001155,ASV1155: $Burkholderiaceae$
ASV001158,ASV1158: $Marinobacterium$
ASV001159,ASV1159: $Halomonas$
ASV001160,ASV1160: $Marinobacterium$
ASV001170,ASV1170: $Vibrionaceae$
ASV001172,ASV1172: $Halomonadaceae$
ASV001180,ASV1180: $Roseobacter$
ASV001181,ASV1181: $Pseudonocardiaceae$
ASV001182,ASV1182: $Pelagibacterium$
ASV001184,ASV1184: $Thalassospira$
ASV001185,ASV1185: $Thalassobaculum$
ASV001186,ASV1186: $Rhodoplanes$
ASV001188,ASV1188: $Acinetobacter$
ASV001194,ASV1194: $Catenococcus$
ASV001200,ASV1200: $Catenococcus$
ASV001203,ASV1203: $Filomicrobium$
ASV001204,ASV1204: $Marinobacterium$
ASV001207,ASV1207: $Thalassospira$
ASV001209,ASV1209: $Thalassospira$
ASV001210,ASV1210: $Nisaea$ $denitrificans$
ASV001211,ASV1211: $Thalassospira$
ASV001212,ASV1212: $Catenococcus$
ASV001215,ASV1215: $Gimesia$ $maris$
ASV001219,ASV1219: $Hymenobacter$
ASV001224,ASV1224: $Vibrionaceae$
ASV001229,ASV1229: $Thalassospira$
ASV001231,ASV1231: $Halomonas$
ASV001235,ASV1235: $Thalassobaculum$
ASV001237,ASV1237: $Oricola$
ASV001240,ASV1240: $Alphaproteobacteria$
ASV001243,ASV1243: $Thalassospira$
ASV001245,ASV1245: $Modicisalibacter$
ASV001250,ASV1250: $Celeribacter$
ASV001254,ASV1254: $Thiobacimonas$
ASV001258,ASV1258: $Gammaproteobacteria$
ASV001260,ASV1260: $Thalassospira$
ASV001261,ASV1261: $Neptunomonas$
ASV001266,ASV1266: $Rhodocista$
ASV001272,ASV1272: $Rubripirellula$
ASV001274,ASV1274: $Thiobacimonas$
ASV001279,ASV1279: $Marinobacterium$
ASV001284,ASV1284: $Thermopetrobacter$
ASV001287,ASV1287: $Thalassospira$
ASV001289,ASV1289: $Polymorphum$
ASV001294,ASV1294: $Rhodobacteraceae$
ASV001301,ASV1301: $Planctomicrobium$
ASV001305,ASV1305: $Thalassospira$
ASV001306,ASV1306: $Kinneretia$
ASV001319,ASV1319: $Catenococcus$
ASV001321,ASV1321: $Stappia$
ASV001325,ASV1325: $Burkholderiaceae$
ASV001330,ASV1330: $Rhodobacteraceae$
ASV001334,ASV1334: $Rhodobacteraceae$
ASV001338,ASV1338: $Thalassospira$
ASV001339,ASV1339: $Thiobacimonas$
ASV001340,ASV1340: $Burkholderiaceae$
ASV001343,ASV1343: $Halomonadaceae$
ASV001356,ASV1356: $Vibrionaceae$
ASV001360,ASV1360: $Catenococcus$
ASV001361,ASV1361: $Catenococcus$
ASV001364,ASV1364: $Breoghania$
ASV001373,ASV1373: $Thalassospira$
ASV001375,ASV1375: $Acidipropionibacterium$
ASV001376,ASV1376: $Caulobacteraceae$
ASV001377,ASV1377: $Rhizobiales$
ASV001379,ASV1379: $Desulfoluna$
ASV001382,ASV1382: $Nitratireductor$
ASV001383,ASV1383: $Marinobacterium$
ASV001384,ASV1384: $Thalassospira$
ASV001391,ASV1391: $Halomonadaceae$
ASV001392,ASV1392: $Halomonadaceae$
ASV001400,ASV1400: $Pseudonocardiaceae$
ASV001401,ASV1401: $Desulfobacterium$
ASV001408,ASV1408: $Fodinicurvata$
ASV001412,ASV1412: $Rhizobiaceae$
ASV001413,ASV1413: $Yangia$
ASV001414,ASV1414: $Rhizobiales$
ASV001416,ASV1416: $Halomonas$
ASV001417,ASV1417: $Thalassospira$
ASV001419,ASV1419: $Alphaproteobacteria$
ASV001422,ASV1422: $Azomonas$
ASV001425,ASV1425: $Pseudophaeobacter$
ASV001426,ASV1426: $Pseudomonas$
ASV001427,ASV1427: $Stenotrophomonas$
ASV001429,ASV1429: $Thiobacimonas$
ASV001445,ASV1445: $Marinobacter$
ASV001450,ASV1450: $Pelagibacterium$
ASV001452,ASV1452: $Robiginitomaculum$
ASV001453,ASV1453: $Cucumibacter$
ASV001455,ASV1455: $Alphaproteobacteria$
ASV001458,ASV1458: $Rhodobacteraceae$
ASV001464,ASV1464: $Exiguobacterium$
ASV001465,ASV1465: $Burkholderiaceae$
ASV001466,ASV1466: $Thiobacimonas$
ASV001468,ASV1468: $Stappia$
ASV001473,ASV1473: $Aurantivirga$
ASV001476,ASV1476: $Aidingimonas$
ASV001478,ASV1478: $Rhodobacteraceae$
ASV001479,ASV1479: $Alcanivorax$
ASV001482,ASV1482: $Anderseniella$
ASV001483,ASV1483: $Alcanivorax$
ASV001485,ASV1485: $Rhodobacteraceae$
ASV001486,ASV1486: $Thalassospira$
ASV001488,ASV1488: $Gaiellales$
ASV001489,ASV1489: $Thioclava$
ASV001490,ASV1490: $Hyphomicrobium$
ASV001491,ASV1491: $Gammaproteobacteria$
ASV001498,ASV1498: $Amorphus$
ASV001499,ASV1499: $Rhodobacteraceae$
ASV001500,ASV1500: $Thalassobaculum$
ASV001501,ASV1501: $Amorphus$
ASV001507,ASV1507: $Catenococcus$
ASV001508,ASV1508: $Rhodobacteraceae$
ASV001510,ASV1510: $Rhizorhapis$
ASV001517,ASV1517: $Pelagibacterium$
ASV001518,ASV1518: $Catenococcus$
ASV001521,ASV1521: $Thalassospira$
ASV001522,ASV1522: $Alteromonas$
ASV001527,ASV1527: $Marinobacterium$
ASV001530,ASV1530: $Sulfitobacter$
ASV001536,ASV1536: $Pseudohoeflea$
ASV001538,ASV1538: $Alcanivorax$
ASV001543,ASV1543: $Thalassobaculum$
ASV001545,ASV1545: $Betaproteobacteriales$
ASV001551,ASV1551: $Cucumibacter$
ASV001558,ASV1558: $Aquabacterium$
ASV001563,ASV1563: $Halomonas$
ASV001574,ASV1574: $Thiobacimonas$
ASV001578,ASV1578: $Alcanivorax$
ASV001582,ASV1582: $Marinobacterium$
ASV001583,ASV1583: $Marinobacterium$
ASV001586,ASV1586: $Alcanivorax$
ASV001589,ASV1589: $Planctomicrobium$
ASV001590,ASV1590: $Hoeflea$
ASV001591,ASV1591: $Cucumibacter$
ASV001596,ASV1596: $Thalassospira$
ASV001597,ASV1597: $Thiobacimonas$
ASV001599,ASV1599: $Rhodobacteraceae$
ASV001601,ASV1601: $Pseudonocardia$
ASV001603,ASV1603: $Sphingomonas$
ASV001604,ASV1604: $Kinneretia$
ASV001610,ASV1610: $Reyranella$
ASV001628,ASV1628: $Roseovarius$
ASV001636,ASV1636: $Gemmataceae$
ASV001641,ASV1641: $Pelagibacterium$
ASV001642,ASV1642: $Neptunomonas$
