pathway,Day01BHET1,Day01BHET2,Day01BHET3,Day03BHET1,Day03BHET2,Day03BHET3,Day07BHET1,Day07BHET2,Day07BHET3,Day14BHET1,Day14BHET2,Day14BHET3,Day21BHET1,Day21BHET2,Day21BHET3,Day30BHET1,Day30BHET2,Day30BHET3,Day42BHET1,Day42BHET2,Day42BHET3,Day01LowCrys1,Day01LowCrys2,Day01LowCrys3,Day03LowCrys1,Day03LowCrys2,Day03LowCrys3,Day07LowCrys1,Day07LowCrys2,Day07LowCrys3,Day14LowCrys1,Day14LowCrys2,Day14LowCrys3,Day21LowCrys1,Day21LowCrys2,Day21LowCrys3,Day30LowCrys1,Day30LowCrys2,Day30LowCrys3,Day42LowCrys1,Day42LowCrys3,Day01LowCrysWater1,Day01LowCrysWater2,Day01LowCrysWater3,Day03LowCrysWater1,Day03LowCrysWater2,Day03LowCrysWater3,Day07LowCrysWater1,Day07LowCrysWater2,Day07LowCrysWater3,Day14LowCrysWater1,Day14LowCrysWater2,Day14LowCrysWater3,Day21LowCrysWater1,Day21LowCrysWater2,Day21LowCrysWater3,Day30LowCrysWater1,Day30LowCrysWater2,Day30LowCrysWater3,Day42LowCrysWater1,Day42LowCrysWater2,Day42LowCrysWater3,Day01NoC1,Day01NoC2,Day01NoC3,Day03NoC1,Day03NoC2,Day03NoC3,Day07NoC1,Day07NoC2,Day07NoC3,Day14NoC1,Day14NoC2,Day14NoC3,Day21NoC1,Day21NoC2,Day21NoC3,Day30NoC1,Day30NoC2,Day30NoC3,Day42NoC1,Day42NoC2,Day42NoC3,Day01PET1,Day01PET2,Day01PET3,Day03PET1,Day03PET2,Day03PET3,Day07PET1,Day07PET2,Day07PET3,Day14PET1,Day14PET2,Day14PET3,Day21PET1,Day21PET2,Day21PET3,Day30PET1,Day30PET2,Day30PET3,Day42PET2,Day42PET3,Day01WeatherPET1,Day01WeatherPET2,Day01WeatherPET3,Day03WeatherPET1,Day03WeatherPET2,Day03WeatherPET3,Day07WeatherPET1,Day07WeatherPET2,Day07WeatherPET3,Day14WeatherPET1,Day14WeatherPET2,Day14WeatherPET3,Day21WeatherPET1,Day21WeatherPET2,Day21WeatherPET3,Day30WeatherPET1,Day30WeatherPET2,Day30WeatherPET3,Day42WeatherPET1,Day42WeatherPET2,Day42WeatherPET3,Inoc2,Inoc3,Inoc4,
PWY-6123, SAICARSYN-RXN AICARSYN-RXN AICARTRANSFORM-RXN IMPCYCLOHYDROLASE-RXN RXN0-742 RXN0-743 ,32.4441,33.6606,32.3622,48.418,51.178,50.3882,44.0599,48.5279,49.6782,47.2514,47.558,47.3231,51.5058,47.2298,48.5929,48.9215,44.6178,48.5178,46.5633,43.9415,50.9348,52.7534,47.4844,42.0842,52.9207,52.8782,46.9435,49.4564,47.6492,42.2958,60.1876,58.3023,54.5666,62.6678,54.7824,55.767,67.1776,58.7262,59.5689,58.8591,72.6159,38.2677,42.8948,39.4114,34.0849,39.8329,32.7332,37.145,39.9915,34.175,47.3164,52.9733,44.2516,49.8262,54.1916,46.89,55.1696,53.8159,50.7796,46.0046,51.2126,49.4127,57.5218,54.6081,55.2741,52.6497,49.4565,50.8615,52.6365,52.1565,56.6949,57.2416,58.1481,59.8214,56.6349,56.4511,62.9297,60.7264,52.1778,62.2731,52.6709,50.4173,53.8459,39.3306,39.2473,38.8694,41.5252,42.4179,39.7144,58.7222,48.8,49.3431,53.835,52.4549,53.75,56.2149,54.1433,52.5466,50.6566,58.03,53.7382,59.9615,64.3762,36.6998,33.7348,37.8049,41.5877,33.9966,33.9029,49.9913,44.3711,48.9531,54.6183,45.5716,47.1648,54.9215,51.9246,52.2966,51.5664,50.5949,55.1382,53.2431,51.7432,49.5282,46.5611,48.4236,54.366
PWY-6125," GMP-SYN-GLUT-RXN GUANYL-KIN-RXN GDPKIN-RXN IMP-DEHYDROG-RXN   ( GDPREDUCT-RXN , RXN0-748 )  DGDPKIN-RXN RXN0-746   ",37.4212,38.8159,37.2952,57.0201,60.4258,59.1885,51.8993,57.1795,58.5747,56.1727,56.8418,56.46,61.0985,56.1744,57.6333,57.7156,52.9632,57.4917,54.8229,52.2357,60.115,59.6769,54.0762,47.6327,60.7381,60.4695,53.7279,56.4522,54.733,48.6381,69.2609,67.1942,63.7803,72.3252,63.4449,64.1597,77.8737,67.7967,68.5067,68.5423,84.2413,44.4126,49.6944,45.5787,39.1579,45.9198,37.7355,42.8831,46.1771,39.7736,54.9629,61.686,52.0061,58.1032,62.6003,54.7239,63.9229,61.6241,58.5197,53.6567,58.8382,57.1357,66.0112,63.29,63.2401,60.261,56.6542,57.8542,60.7844,59.7851,64.5902,65.5974,66.7102,68.216,64.9152,65.1608,70.694,69.2648,59.7766,70.3717,60.3749,58.3253,61.3194,44.972,45.0994,45.0295,47.6579,48.9829,45.5641,69.467,57.5067,58.1536,63.5474,61.1444,62.7456,66.1147,63.4171,61.0511,58.9836,67.6482,62.0672,69.1359,75.2925,42.4748,39.285,43.532,47.8613,39.4482,38.993,59.5204,52.6619,57.7092,63.3896,53.9471,55.2598,64.4441,61.4396,61.3208,59.9932,59.0803,64.5251,61.9207,60.2626,57.5357,52.5129,54.1576,60.8141
PWY-6126," ADENYLOSUCCINATE-SYNTHASE-RXN AMPSYN-RXN ADENYL-KIN-RXN ATPSYN-RXN   ( RXN0-747 , ADPREDUCT-RXN )  DADPKIN-RXN RXN0-745   ",41.415,43.0213,41.1999,61.9029,65.1739,63.7467,55.7394,60.9731,62.3861,58.5238,58.9926,58.6477,64.1196,59.069,60.5944,61.1493,56.0617,61.0267,58.5872,55.3841,63.9595,65.5021,59.1361,52.4092,65.6758,65.9378,58.4097,61.1988,59.2423,52.7247,73.5435,71.5612,67.4275,77.4691,67.6674,69.6313,82.363,72.911,73.2004,73.9197,89.2057,48.4413,54.3292,49.682,42.6546,49.7859,40.8382,46.4191,50.081,43.1647,59.5441,66.4254,55.9857,62.7606,67.797,59.3798,69.2223,66.9786,63.7761,58.6391,64.0299,62.0506,72.295,69.8019,69.2854,65.8047,62.4259,63.2904,66.1398,65.6416,70.1332,70.8479,72.7757,73.7136,69.6983,70.0287,76.8619,74.3304,64.8534,76.1877,64.8407,62.6294,66.2818,49.7095,49.9448,49.7058,52.0031,53.2521,49.7556,72.2755,60.5174,60.5055,65.8145,64.4246,65.7465,68.8662,66.7882,64.4557,62.5609,71.2127,66.243,73.9211,78.2736,46.9302,43.3195,47.8657,52.0482,42.9669,42.8453,61.3115,54.6782,60.3545,67.7042,56.1393,58.0956,67.7356,63.5116,64.3733,63.6245,62.4982,68.1411,65.8981,64.1587,61.6408,58.3296,60.2055,67.5308
PWY-6145, -RXN-15652 -RXN-15653 -RXN-15654 -RXN-15655  MANNKIN-RXN -RXN-9991 -RXN-9992 -RXN-9993  RXN-9987 N-ACETYLNEURAMINATE-SYNTHASE-RXN RXN-9990  1.14.18.2-RXN ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0832,0,0,0,0,0,0,0,0,0,0.0167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0333,0,0,0,0,0,0
PWY-6147, GTP-CYCLOHYDRO-I-RXN H2NEOPTERINP3PYROPHOSPHOHYDRO-RXN -DIHYDRONEOPTERIN-MONO-P-DEPHOS-RXN H2NEOPTERINALDOL-RXN H2PTERIDINEPYROPHOSPHOKIN-RXN ,35.4325,36.8004,35.399,53.2545,56.006,55.3704,48.4091,53.4424,54.06,53.9342,54.1947,54.1034,58.5709,53.5681,54.9963,55.8209,50.6092,55.0039,52.8033,50.1109,57.8415,65.1535,58.4946,52.8414,63.8923,64.6118,57.4061,59.2446,57.3894,50.6689,71.4451,67.6601,64.2438,72.7645,63.8887,63.4187,77.6395,68.8809,68.9974,68.8347,81.9674,45.9017,51.4896,47.0945,41.3777,48.4356,39.5308,44.6184,48.1474,40.7582,56.2227,63.6362,51.7149,58.8184,66.0196,55.2473,65.0187,65.4529,60.1816,54.315,62.309,58.2261,68.3354,63.2905,66.8917,63.7872,58.6728,62.4448,62.8319,61.5849,69.2174,70.1373,69.5861,74.8902,70.1883,67.7159,79.7598,75.7454,63.1065,78.3263,65.3036,60.9784,67.3041,47.6093,47.5979,46.9103,49.967,51.1557,48.0165,67.3241,60.3315,60.6761,65.3479,65.3556,66.7165,68.5615,66.8705,64.9001,62.047,73.0069,66.9232,75.1425,79.1676,43.8731,38.7172,44.9782,49.9751,40.0452,40.6376,61.5404,54.1087,60.503,69.352,55.9172,58.1257,68.5884,64.6269,64.8852,64.857,62.8632,68.9929,66.9257,64.7909,61.8862,52.561,54.2984,60.7051
PWY-6148, ( ( CHORPYRLY-RXN RXN-8124 -RXN-15741 -RXN-15742 ) + ( H2NEOPTERINALDOL-RXN -RXN-15732 RXN-15733 ) )  RXN-15734 -RXN-10010 -RXN-10011 -RXN-10012 -RXN-10013 -RXN-10014 RXN-15555 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PWY-6151, S-ADENMETSYN-RXN -RXN-7605 ADENOSYLHOMOCYSTEINE-NUCLEOSIDASE-RXN RIBOSYLHOMOCYSTEINASE-RXN HOMOCYSMET-RXN ,27.1918,27.6417,27.3326,42.4753,41.1632,42.0136,36.6646,39.486,38.3109,36.1067,34.0963,34.7542,38.2389,36.3691,36.9512,40.006,36.5209,38.3543,37.3667,35.5303,40.1482,51.649,47.2679,43.5004,50.276,48.9337,46.2985,47.8233,45.9101,39.7224,45.3254,49.1475,43.1974,48.6591,46.8958,41.0614,51.7518,46.0891,47.7365,40.7801,38.4865,41.7256,45.7959,43.4218,36.4251,41.5293,35.1421,38.7975,40.8466,35.7852,43.6273,46.6605,38.6071,41.9458,49.1752,39.7716,48.1073,49.5287,43.8012,36.5941,45.5529,39.8954,58.6916,57.691,57.6585,51.3545,51.5271,51.2095,46.896,52.1851,55.4099,53.6354,56.7987,58.776,53.6516,52.6007,65.695,59.5474,50.5011,63.7037,49.2768,45.182,52.3028,42.8196,42.6659,42.0417,40.7656,41.4057,39.5708,45.2398,42.3621,43.3718,47.1995,45.1527,49.251,48.694,44.7611,48.4107,41.709,45.3846,44.9916,41.4771,51.5914,38.8262,34.8762,39.9577,40.2534,33.6278,33.7317,40.7827,38.7749,42.3523,40.712,39.5018,42.9072,44.033,44.0388,46.4738,42.7919,39.8397,41.0017,42.9531,37.7906,37.8652,44.1657,44.7505,49.5226
PWY-6163," 3-DEHYDROQUINATE-DEHYDRATASE-RXN ( RXN-7968 , SHIKIMATE-5-DEHYDROGENASE-RXN ) SHIKIMATE-KINASE-RXN 2.5.1.19-RXN CHORISMATE-SYNTHASE-RXN ",34.574,35.5181,34.0482,52.2043,55.0969,53.9827,48.2167,52.5124,53.9734,50.9095,51.2329,50.9362,55.6944,51.1413,52.371,52.8272,48.4134,52.2514,50.7129,47.7526,54.8742,55.6429,51.4206,45.0923,58.0651,57.5166,51.1859,52.9913,51.41,45.5178,63.9597,61.6781,57.9587,67.4401,58.1365,60.0485,75.0537,64.8093,65.8261,64.0829,76.6188,42.8109,48.1333,44.4281,37.7228,44.1927,36.5236,41.2707,44.3252,38.0415,52.5388,58.4107,49.5862,55.5348,59.4407,52.4181,61.3739,58.697,56.0479,50.3623,55.535,54.0187,64.4532,61.6882,61.3088,58.5346,55.0482,56.0844,58.4245,58.0008,62.3584,62.4574,63.5873,63.9802,60.9486,61.2816,66.5231,65.0365,56.6561,66.2706,56.1914,54.2369,56.9245,42.9413,42.9677,43.0266,45.5429,46.8028,43.5188,67.4452,52.4454,53.2152,59.4453,56.1205,57.7364,61.5542,57.9653,56.5537,54.4963,61.0257,57.2253,62.6446,68.2352,40.1729,37.5228,41.4603,45.8275,37.6601,37.0742,53.7631,47.7888,52.2403,56.9569,48.9757,50.6409,58.0991,54.9989,56.0113,54.2074,53.5226,58.1348,55.7055,54.3045,52.1646,49.9327,51.6651,58.0642
PWY-6165," -RXN-8075 -RXN-10054 RXN-10053 RXN-10031 RXN-10032  3-DEHYDROQUINATE-DEHYDRATASE-RXN ( RXN-7968 , SHIKIMATE-5-DEHYDROGENASE-RXN ) SHIKIMATE-KINASE-RXN 2.5.1.19-RXN CHORISMATE-SYNTHASE-RXN ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1347,0.0711,0.0865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PWY-6174, ACETYL-COA-ACETYLTRANSFER-RXN HYDROXYMETHYLGLUTARYL-COA-SYNTHASE-RXN 1.1.1.34-RXN MEVALONATE-KINASE-RXN RXN-10067 RXN-10068 IPPISOM-RXN ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0325,0,0,0,0,0,0,0,0.0311,0,0,0,0,0,0,0,0,0,0,0,0,0.033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0326,0,0,0,0,0,0.1032,0.1034
PWY-6182, SALICYLATE-1-MONOOXYGENASE-RXN  CATECHOL-12-DIOXYGENASE-RXN MUCONATE-CYCLOISOMERASE-RXN MUCONOLACTONE-DELTA-ISOMERASE-RXN 3-OXOADIPATE-ENOL-LACTONASE-RXN  3-OXOADIPATE-COA-TRANSFERASE-RXN RXN-3641 ,1.2005,1.5711,1.8536,0.6148,0.75,0.4613,1.1188,1.1244,1.3512,0.6822,0.6388,1.0937,1.3948,1.0622,1.2898,1.7393,1.1785,1.3221,1.6591,1.0164,1.3618,3.226,6.7756,4.2859,4.3483,5.054,4.4596,4.0074,3.2594,2.4081,2.4864,2.5409,2.3826,2.5121,2.3246,2.8625,1.1905,1.4559,1.6414,0.8029,2.4797,1.0534,1.5512,0.7909,0.5754,0.6034,0.5269,0.7866,1.0524,0.5854,0.8799,1.1489,0.7527,0.4396,0.6347,0.0941,0.2449,0.6404,0.3258,0.1311,0.4359,0.3547,1.2422,0.4507,1.224,0.9492,0.7007,0.884,0.8763,0.853,1.2005,0.9684,1.0027,1.114,1.0178,1.4416,1.4883,0.9418,0.9878,1.465,0.7603,0.5713,0.9164,0.9272,0.6069,0.2629,0.9024,0.712,0.5234,1.0628,1.1714,0.8162,0.6694,0.7301,0.8584,1.1262,0.9458,1.0192,0.874,0.8028,1.0222,0.7993,1.423,0.6556,1.0464,0.7793,0.5108,0.4475,0.5111,1.0818,1.0793,1.3005,0.5927,0.7696,0.9224,1.0255,1.0329,1.1055,0.9613,1.0032,0.3515,0.9045,0.7776,0.2678,2.042,1.7223,3.0161
PWY-6185, -RXN-10080 RXN-10081 -5.4.99.14-RXN RXN-10082 RXN-10083 RXN-10085 RXN-10086 ,0.0247,0,0.0492,0.0474,0,0,0,0.0246,0,0.0476,0.0243,0,0,0.0246,0.0247,0.0248,0.0716,0.0247,0,0,0.0721,2.3439,4.8325,2.6654,1.1127,2.4151,2.2006,2.024,1.2051,0.8959,0.7221,1.3259,0.923,1.5281,0.7929,1.1003,0.7172,0.8621,0.7162,0.406,2.0299,0.1573,0.1623,0.1128,0.069,0.109,0.0242,0.0479,0.094,0.0243,0.0245,0.1596,0.0244,0.0241,0,0,0.0234,0.0476,0,0,0,0.0239,0,0,0,0,0,0,0,0,0.0247,0.0482,0.0714,0.0247,0,0.0489,0.0247,0.0246,0,0,0,0.0243,0,0.0246,0,0,0,0,0,0,0,0,0,0,0.0245,0,0.0483,0,0,0,0,0,0.0959,0.0244,0.0246,0,0.0242,0,0,0.0246,0,0.0247,0,0,0.0246,0,0,0,0,0.0246,0,0,0,0,0,0,0.1219
PWY-621," RXN-1461 ( ( RXN-1685 GLUCOSE-6-PHOSPHATE-1-EPIMERASE-RXN PGLUCISOM-RXN ) , FRUCTOKINASE-RXN ) ",18.0098,17.5493,16.3374,31.0084,30.126,30.2557,24.4798,27.449,25.5769,23.6102,21.8328,22.1396,25.4854,24.2398,24.4943,28.2799,25.7887,26.5634,26.1618,24.701,28.2022,39.0501,31.2124,30.2246,34.6562,35.9282,32.0933,32.844,31.2219,27.2275,32.762,29.8591,27.9674,34.6651,29.1793,27.7472,30.4959,31.2155,27.9726,32.7198,23.1239,25.013,27.2035,27.7506,25.2856,28.7282,23.6127,24.3698,27.0753,23.1674,28.7018,30.7662,23.1678,30.7868,34.187,29.5975,38.6419,34.489,35.53,28.7524,34.0628,29.7264,37.6928,37.1232,38.221,36.202,35.3122,37.5387,33.8802,33.1439,38.8589,38.3529,37.03,44.9317,37.7863,33.1902,49.9271,40.9357,32.7221,46.488,36.5753,32.7319,40.4822,30.6891,30.29,28.7355,31.1464,30.8215,29.8349,27.7103,30.8327,25.8824,28.2444,31.7999,29.1601,30.5068,30.666,30.1847,32.2262,35.6526,35.2124,38.398,29.7413,28.1094,22.8842,28.6296,30.8481,25.1315,26.6428,26.9106,24.9475,30.7715,39.487,25.7766,29.6998,34.4807,29.0285,33.0457,34.8875,32.4184,35.9674,36.3938,33.9574,34.0772,35.878,35.8357,40.3132
PWY-6210, RXN-8818 1.2.1.32-RXN 3.5.99.5-RXN 4.1.1.77-RXN ,0.0195,0.0879,0.0378,0.0192,0.0194,0,0.3877,0.1948,0.3271,0.2519,0.194,0.4575,0.453,0.4093,0.3906,0.2856,0.2775,0.4372,0.2753,0.194,0.5797,0.1265,0.0577,0.1265,0.261,0.1634,0.0571,1.3366,0.6147,0.6494,1.9989,1.0121,1.0787,1.7347,1.4123,1.2501,1.0696,1.4875,1.1351,0.8332,0.7727,0,0.0186,0,0.0364,0,0.0192,0.2598,0.3143,0.1946,0.2993,0.4795,0.4705,0.6646,0.3701,0.1302,0.6063,0.5504,0.2933,0.5665,0.18,0.1542,0,0.07,0.0711,0.1348,0.0694,0,0.5516,0.3513,0.4326,0.4825,0.7153,0.5694,0.5528,1.0347,0.5511,0.5257,0.7915,0.5728,0.5082,1.0007,0.5311,0.0189,0.0189,0.0189,0,0.0503,0.0373,0.3184,0.5912,0.3126,0.6201,0.7701,0.4823,0.6394,0.6611,0.5163,0.3337,0.4448,0.8224,0.2254,0.5061,0.0192,0.0852,0.0989,0.0843,0.0368,0,0.4617,0.2435,0.6112,0.9042,0.5485,0.6605,0.9316,0.5778,0.8566,0.7715,0.4574,0.3658,0.6077,0.3233,0.1531,2.8361,3.1695,3.7188
PWY-6263, ( ( TRANS-PENTAPRENYLTRANSFERASE-RXN TRANS-HEXAPRENYLTRANSTRANSFERASE-RXN RXN-8992 ) + ( RXN-10620 -RXN-10622 ) )  -RXN-10623  ADOMET-DMK-METHYLTRANSFER-RXN  ,13.7461,14.6134,15.7647,4.3128,4.5534,4.9913,1.5949,2.5516,2.8667,1.5076,1.6503,1.7453,2.4794,1.7332,2.2733,1.5533,1.8378,1.895,0.9668,0.9998,2.2623,6.4507,7.5637,5.2472,4.2451,6.1454,4.8037,5.4633,2.2359,2.6548,2.9013,3.3009,6.745,6.2706,2.9408,10.39,2.7846,3.5972,3.6989,2.8,7.5188,0.9707,0.4759,0.5639,0.3862,0.6502,0.4735,0.298,0.475,0.2681,0.6237,0.1198,0.4167,0.0599,0.1795,0.1496,0.2988,0.1795,0.1497,0.2092,0.1795,0.1795,1.4424,0.6245,1.4698,0.8299,0.5059,0.3581,0.5651,0.5653,0.2392,0.2392,0.5952,0.4767,0.3582,0.536,0.5658,0.2393,0.4471,0.7134,0.3579,0.4763,0.682,1.3974,0.7093,0.4754,0.8799,0.7957,0.7947,1.0243,0.1495,0.5345,0.1197,0.2093,0.2391,0.2391,0.2391,0.2986,0.2684,0.2391,0.3282,0.2985,0.1796,1.0163,1.5241,1.3592,0.7331,0.1787,0.5269,0.5579,0.6183,0.561,0.0897,0.2089,0.3571,0.3869,0.4165,0.2092,0.2978,0.4751,0.1197,0.2977,0.3273,0.1196,2.981,3.6294,4.8441
PWY-6269, ( DMBPPRIBOSYLTRANS-RXN + ( BTUR2-RXN R346-RXN RXN-6261 COBINPGUANYLYLTRANS-RXN ) )  COBALAMIN5PSYN-RXN RXN-8770 ,28.9409,29.7842,28.1625,43.9862,46.7252,46.7873,38.2559,44.3228,44.2757,42.3711,42.8297,43.0297,44.2253,41.5777,42.6177,42.5105,39.8934,42.3375,40.6697,38.7267,44.3217,38.1505,31.0589,29.5476,39.3607,39.1612,33.0523,30.6472,32.8066,29.2779,42.9212,40.9676,37.0006,30.492,34.5072,35.5762,39.1468,40.5236,39.2442,32.0267,54.9394,18.3482,22.797,17.1015,22.473,26.3772,20.7385,22.0658,25.9073,21.3822,26.3663,34.459,30.4065,28.8723,33.6996,28.7145,28.494,33.2566,28.745,27.102,34.9896,32.4696,31.0218,30.4862,32.4065,32.2132,32.5523,32.5453,34.9102,32.0584,36.3376,37.9132,35.692,43.8289,38.6029,36.0287,44.7022,40.6974,30.5077,42.6652,38.187,32.2282,40.5817,25.0548,25.1211,23.0962,32.5641,31.3349,29.8029,52.2656,41.8222,39.9375,46.0756,41.8179,39.5965,47.1199,42.7879,38.4889,44.32,49.3544,43.1343,52.2778,53.5145,27.6434,23.1305,27.1535,33.6872,27.5294,27.5084,45.9427,38.8723,43.725,50.9577,39.8902,39.462,48.3294,45.8665,43.3367,46.206,44.6222,49.4839,47.7845,47.5427,44.8389,36.3012,37.2969,40.9378
PWY-6277, PRPPAMIDOTRANS-RXN GLYRIBONUCSYN-RXN -GARTRANSFORMYL2-RXN FGAMSYN-RXN AIRS-RXN ,36.2227,37.6599,36.5129,54.6692,58.3867,57.1269,50.3698,55.4453,57.2355,54.5332,55.2027,54.6762,59.5357,54.5383,55.9945,55.8412,51.2047,56.0094,53.6769,50.6207,58.4508,60.5445,56.0265,48.5609,61.1337,61.998,54.9871,57.2153,54.5173,48.5227,70.0154,68.0035,64.546,73.3372,64.6939,66.0669,78.9489,71.2772,70.3705,68.7165,85.627,44.1444,49.5914,45.8504,39.4861,46.0827,37.6771,43.1795,46.2659,39.4898,55.5029,61.6361,51.9092,58.6442,62.9594,55.6113,64.947,62.5029,60.2084,53.5035,59.2028,58.1309,66.2413,63.2859,63.0516,61.7851,57.706,58.9684,61.5246,60.9473,65.8114,66.2522,67.4889,67.4099,65.0781,65.4836,70.1034,69.5684,60.3025,70.2786,60.1287,57.6717,60.4069,43.81,43.9216,44.0553,47.1614,48.9636,45.0839,68.7228,55.3566,56.6723,61.7406,59.7159,61.4204,64.4532,61.7343,59.9429,56.695,64.7506,60.5539,65.7278,72.5219,40.5797,38.092,41.8952,47.4927,38.874,38.0601,57.2984,50.9355,55.298,59.3457,52.0876,53.4545,61.7175,58.9086,59.4901,56.9535,56.6658,61.7363,58.7538,57.0978,54.7728,48.599,50.6419,56.9803
PWY-6282, RXN-10654 RXN-10655 RXN-10656 RXN-10657 RXN-10658 RXN-10659 RXN-10660 RXN-10661 RXN-9550 ,46.2798,48.1164,43.3032,79.3355,81.1629,80.1105,69.8421,75.454,74.296,64.7992,63.1996,62.9612,72.772,68.7537,70.2139,74.382,68.3512,74.1751,72.7147,66.8623,78.2232,75.7988,66.5722,61.9423,76.0897,76.2466,68.831,71.678,69.3988,63.2322,89.3768,86.0575,72.5016,88.6866,81.112,76.925,94.525,83.7232,81.536,87.7434,103.6703,53.4371,59.3,51.835,52.3708,60.4304,51.0749,54.9495,59.8853,52.76,64.2036,73.5113,65.7232,68.9402,71.9162,64.4319,71.8066,72.2668,66.3981,69.8106,72.2768,70.0524,75.3813,79.0401,73.9512,71.7386,76.7329,70.2387,75.1712,76.6017,76.2655,75.8381,81.7504,80.7152,72.4266,76.9429,80.9739,74.4216,69.6007,79.1136,70.3955,72.8837,74.2176,58.084,58.3476,57.0873,65.0828,64.7464,61.5504,88.7801,67.5974,61.446,72.5967,66.4855,64.184,75.4972,69.8993,65.8318,73.6592,75.0489,71.8634,83.4378,81.6627,59.4395,53.9387,58.737,66.4928,57.3441,56.3482,65.1725,60.5837,67.9789,79.2365,61.8173,64.9838,74.607,65.3559,69.7651,72.3518,71.6965,77.6014,75.9009,75.0223,73.6327,71.02,72.1182,81.5118
PWY-6284, RXN-10654 RXN-10655 RXN-10656 RXN-10657 RXN-10658 RXN-10659 RXN-10660 RXN-10661 RXN-9550  2.3.1.179-RXN RXN-9556 RXN-9557 RXN-9558 RXN-9555  RXN-9655 5.3.3.14-RXN RXN0-2141 RXN0-2142 RXN0-2144 RXN0-2145 ,8.1263,9.024,7.8368,51.8771,58.4035,57.6559,44.9131,53.6719,55.9905,41.5815,44.051,44.8083,39.0056,42.2231,43.2381,34.9554,38.7756,41.6327,29.6017,33.5197,39.5959,0.5959,1.759,1.4691,3.4604,2.2424,2.141,1.6663,1.3763,1.5659,0.3985,0.8921,2.5242,3.4784,0.7934,2.4326,3.3889,1.768,4.2959,0.4975,0.9919,2.68,3.603,2.8596,3.7483,3.9595,2.7611,3.0457,4.1357,3.5737,1.9482,2.8057,3.0695,1.4724,1.763,1.9483,0.9884,0.5959,1.6643,0.0999,0.3981,0.7923,4.9157,3.0896,3.7352,3.3615,3.2706,2.615,3.9176,2.2406,2.5278,2.243,1.3794,0.9898,1.0863,1.0866,0.4975,0.3982,0.497,0.695,0.3981,0.1995,0.3982,4.9153,6.3477,6.6611,6.8128,9.2791,5.2735,14.7497,6.684,6.1348,5.5972,4.1695,2.3279,3.8263,3.1747,1.4721,3.7295,1.6685,2.0498,0.3984,0.3984,6.3433,5.6286,6.0936,7.3125,7.6519,4.9744,6.8241,5.0129,3.989,2.7177,4.3217,3.0707,2.5254,0.9872,2.1429,0.6943,1.2801,0.5961,1.956,1.3779,0.299,4.4444,3.3586,3.8364
